2023-06-26 21:01:16

top - 21:01:16 up  5:17,  1 user,  load average: 0.30, 0.08, 0.03
Tasks: 295 total,   1 running, 294 sleeping,   0 stopped,   0 zombie
%Cpu(s): 12.2 us, 12.2 sy,  0.0 ni, 73.2 id,  0.0 wa,  0.0 hi,  2.4 si,  0.0 st
MiB Mem :   3151.4 total,    764.5 free,    936.7 used,   1450.2 buff/cache
MiB Swap:   2140.0 total,   2140.0 free,      0.0 used.   1946.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1599 mohammd   20   0 4342524 393372 144788 S  16.7  12.2  18:01.42 gnome-shell
 196982 mohammd   20   0   24748   4232   3620 R  11.1   0.1   0:00.03 top
      1 root      20   0  167924  13368   8316 S   0.0   0.4   0:08.15 systemd
    367 root      19  -1  498140 327920 325536 S   0.0  10.2   1:58.67 systemd-journal
    420 root      20   0   26972   7224   4672 S   0.0   0.2   0:00.49 systemd-udevd
    524 systemd+  20   0   14824   6200   5404 S   0.0   0.2   0:34.55 systemd-oomd
    527 systemd+  20   0   25660  13956   9628 S   0.0   0.4   0:00.61 systemd-resolve
    528 systemd+  20   0   89376   6744   5888 S   0.0   0.2   0:00.26 systemd-timesyn
    626 root      20   0  251512   8068   7156 S   0.0   0.3   0:01.19 accounts-daemon
    633 avahi     20   0    7624   3684   3344 S   0.0   0.1   0:00.33 avahi-daemon
    637 root      20   0   21032   3264   3008 S   0.0   0.1   0:00.06 cron
    641 message+  20   0   11096   6796   4136 S   0.0   0.2   0:03.68 dbus-daemon
    643 root      20   0  272540  19208  16128 S   0.0   0.6   0:03.24 NetworkManager
    658 root      20   0   82828   3844   3484 S   0.0   0.1   0:01.49 irqbalance
    663 root      20   0   52620  21004  11704 S   0.0   0.7   0:00.34 networkd-dispat
    665 root      20   0  254604  11708   8008 S   0.0   0.4   0:07.81 polkitd
    667 root      20   0  251600   7696   7004 S   0.0   0.2   0:00.08 power-profiles-
    672 syslog    20   0  222400   6000   4404 S   0.0   0.2   0:28.79 rsyslogd
    675 root      20   0  949360  48232  20700 S   0.0   1.5   0:08.53 snapd
    681 root      20   0  248024   7188   6564 S   0.0   0.2   0:00.14 switcheroo-cont
    684 root      20   0   15444   8108   6912 S   0.0   0.3   0:00.70 systemd-logind
    687 root      20   0  467056  14164  11060 S   0.0   0.4   0:00.56 udisksd
    689 root      20   0   16492   5696   4888 S   0.0   0.2   0:00.19 wpa_supplicant
    743 root      20   0  316948  12176  10324 S   0.0   0.4   0:00.27 ModemManager
